,Address,Lat,Long,Area,Asking,Bathrooms,Bedrooms,Built Year,Developer,District,facilities,Floor,Furnish,HDB Town,Model,No. of Units,Property Name,Property Type,PSF,Tenure,X-Valuation,DistrictValue
100,3 Wallich Street (078882),1.27711736,103.8457902,646,2097800,NA,1,2017,Perfect Eagle Pte Ltd,D2 - Chinatown / Tanjong Pagar,Air Conditioning|Cooker Hob/hood,40,NA,NA,Apartment,181,Wallich Residence At Tanjong Pagar Centre,Apartment,3247,LEASEHOLD/99 years,NA,2
101,111 Prince Charles Crescent (159022),1.293198415,103.8201536,1658,3522000,5,4,2017,Wingcrown Investment Pte Ltd,D3 - Alexandra / Commonwealth,Corner Unit|Swimming Pool View|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Private Lift|Balcony,4,Partially Furnished,NA,Condominium,469,The Crest,Condominium,2124,LEASEHOLD/99 years,NA,3
102,178 Jalan Eunos (419530),1.327813753,103.9062543,904,1415000,2,4,2020,RH Eunos Pte Ltd,D14 - Eunos / Geylang / Paya Lebar,Corner Unit|Park/greenery View|Original Condition|Cooker Hob/hood|Intercom|Bathtub|Hairdryer|Air Conditioning|Balcony|Bombshelter|Walk-in-wardrobe,4,Partially Furnished,NA,Apartment,48,The Navian,Apartment,1565,FREEHOLD,NA,14
103,65 Lloyd Road (239114),1.297179284,103.8389731,603,2171000,1,1,2016,TG (2010) Pte Ltd,D9 - Orchard / River Valley,Original Condition|Park/greenery View|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,7,Partially Furnished,NA,Apartment,76,Lloyd Sixtyfive,Apartment,3600,FREEHOLD,NA,9
104,113 Tampines Street 86 (528536),1.355622077,103.9295258,936,1144000,2,3,NA,MCC Land (Tampines) Pte Ltd,D18 - Pasir Ris / Tampines,Corner Unit|Park/greenery View|Renovated|Air Conditioning|Cooker Hob/hood|Intercom|Water Heater|Balcony,14,Partially Furnished,NA,Condominium,626,The Alps Residences,Condominium,1222,LEASEHOLD/99 years,NA,18
105,2 Bukit Batok Street 41 (657990),1.355957966,103.7411314,495,975000,1,1+1,NA,NA,D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang,Park/greenery View|Original Condition|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,12,Partially Furnished,NA,Apartment,NA,Le Quest,Apartment,1970,LEASEHOLD/99 years,NA,23
106,2 Bukit Batok Street 41 (657990),1.355957966,103.7411314,700,975000,1,2,2021,NA,D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang,City View|Park/greenery View|Air Conditioning|Intercom|Cooker Hob/hood|Water Heater|Balcony|Walk-in-wardrobe,15,Partially Furnished,NA,Apartment,NA,Le Quest,Apartment,1393,LEASEHOLD/99 years,NA,23
107,57 Grange Road (249569),1.298371026,103.8264285,1281,4553640,2,2,2016,Aston Properties Pte Ltd,D10 - Tanglin / Holland / Bukit Timah,City View|Park/greenery View|Original Condition|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,20,Partially Furnished,NA,Condominium,174,Gramercy Park,Condominium,3555,FREEHOLD,NA,10
108,18 Leonie Hill Road (239199),1.298124446,103.8340664,7836,3.50E+07,5,5,2017,City Developments Limited,D9 - Orchard / River Valley,Corner Unit|City View|Air Conditioning|Cooker Hob/hood|Intercom|Private Pool|Private Lift|Bathtub|Water Heater|Balcony|Roof Terrace|Walk-in-wardrobe|Maidsroom|Private Garden,35,Partially Furnished,NA,Condominium,124,New Futura,Condominium,4467,FREEHOLD,NA,9
109,88 Mergui Road (219062),1.317725204,103.8518579,624,1233000,2,3,2016,Forte Development Pte. Ltd.,D8 - Farrer Park / Serangoon Rd,City View|Air Conditioning|Cooker Hob/hood|Intercom|Water Heater,21,Partially Furnished,NA,Apartment,106,Forte Suites,Apartment,1976,FREEHOLD,NA,8
110,23 Marina Way (018979),1.277224256,103.8536949,1539,3577710,3,3,2018,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,City View|Sea View|Renovated|Corner Unit|Air Conditioning|Water Heater|Cooker Hob/hood|Bathtub|Balcony,30,Partially Furnished,NA,Apartment,1042,Marina One Residences,Apartment,2325,LEASEHOLD/99 years,NA,1
