,Address,Lat,Long,Area,Asking,Bathrooms,Bedrooms,Built Year,Developer,District,facilities,Floor,Furnish,HDB Town,Model,No. of Units,Property Name,Property Type,PSF,Tenure,X-Valuation,DistrictValue
415,68 Upper Serangoon View (533884),1.373777671,103.9029702,1022,1115341,NA,3,NA,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,City View|Bathtub|Air Conditioning|Balcony|Terrace,NA,NA,NA,Apartment,1165,Kingsford Waterbay,Apartment,1091,LEASEHOLD/99 years,NA,19
416,Bedok Avenue,1.321633464,103.953273,NA,7300000,6,4+1,2015,NA,D16 - Bedok / Upper East Coast,Renovated|Cooker Hob/hood|Jacuzzi|Private Lift|Water Heater|Intercom|Bathtub|Air Conditioning|Private Pool|Balcony|Maidsroom|Bombshelter|Walk-in-wardrobe|Garage|Private Garden,NA,Partially Furnished,NA,Detached,NA,Bedok Avenue,Detached,NA,FREEHOLD,"$6,300,000(Updated: 22-Sep-2017)",16
417,6 Everton Park (080006),NA,NA,13,798000,NA,3,1980,NA,NA,City View|Corner Unit|Cooker Hob/hood|Air Conditioning|Water Heater|Maidsroom,NA,NA,Bukit Merah,Improved,NA,Everton Park,HDB 5 Rooms,541,LEASEHOLD/99 years,NA,NA
418,686A Woodlands Drive 73 (731686),1.442135964,103.8056199,11,399000,2,3,2003,NA,NA,Park/greenery View|Renovated|Air Conditioning|Cooker Hob/hood|Bombshelter,NA,Not Furnished,Woodlands,Improved,NA,Woodlands Drive 73,HDB 5 Rooms,322,LEASEHOLD/99 years,NA,NA
419,King's Drive,1.319605745,103.8074069,NA,3600000,4,5+1,1999,TUAN SING LAND PTE LTD,D10 - Tanglin / Holland / Bukit Timah,Park/greenery View|Renovated|Cooker Hob/hood|Water Heater|Bathtub|Air Conditioning|Outdoor Patio|Maidsroom|Walk-in-wardrobe,NA,Partially Furnished,NA,Semi-detached,106,Kingsville,Semi-Detached,NA,LEASEHOLD/99 years,"$3,300,000(Updated: 05-Jun-2017)",10
420,317 Woodlands Street 31 (730317),NA,NA,7,299999,2,2,1993,NA,NA,Air Conditioning|Water Heater|Cooker Hob/hood,NA,NA,Woodlands,Standard,NA,Woodlands Street 31,HDB 2 Rooms,382,LEASEHOLD/99 years,NA,NA
421,54 Edgedale Plains (828821),1.397353479,103.9132036,1648,1449000,2,3,2015,Qingjian Realty (Punggol Central) Pte Ltd,D19 - Hougang / Punggol / Sengkang,River Ford|Tennis Court|Spa Seats|Bbq Pavilion|Hydro Gym|Sun Deck|Pizza Pavilion|Pools Of Reflection|Teppanyaki Pavilion|Gourmet Pavilion|Dip Lagoon|Meditation Bay|Fun Court|Water Spring Massage|Blue Lagoon|Spa Beds|Clubhouse|Wade 'n' Waddle|Eco Spring|Tee Square|Dining Deck|Massage Cabana|The Glade|Fitness Courts|Aqua Play|Hammock Haven|Corner Unit|City View|Renovated|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Roof Terrace,NA,Not Furnished,NA,Condominium,610,River Isles,Condominium,879,LEASEHOLD/99 years,NA,19
422,875 Yishun Street 81 (760875),NA,NA,8,353000,2,3,1988,NA,NA,Corner Unit|Air Conditioning|Water Heater|Cooker Hob/hood,NA,Fully Furnished,Yishun,Simplified,NA,Yishun Street 81,HDB 4 Rooms,390,LEASEHOLD/99 years,NA,NA
423,82 Bedok North Road (460082),NA,NA,9,480000,2,3,1978,NA,NA,Corner Unit|Park/greenery View|Renovated|Air Conditioning|Cooker Hob/hood|Water Heater|Private Lift,NA,Fully Furnished,Bedok,New Generation,NA,Bedok North Road,HDB 4 Rooms,485,LEASEHOLD/99 years,"$415,000(Updated: 07-Sep-2017)",NA
424,101 Prince Charles Crescent (159017),1.29269479,103.8204115,883,1713000,1,2,2017,Wingcrown Investment Pte Ltd,D3 - Alexandra / Commonwealth,Air Conditioning|Water Heater,NA,NA,NA,Condominium,469,The Crest,Condominium,1940,LEASEHOLD/99 years,NA,3
425,111 Woodlands View (737703),1.44369698,103.8103245,1130,678000,2,3,NA,Hao Yuan (Woodlands) Pte Ltd,D25 - Admiralty / Woodlands,Air Conditioning|Water Heater,NA,NA,NA,Condominium,358,Northwave,Condominium,600,LEASEHOLD/99 years,NA,25
426,27 Mount Sophia (228478),1.301008314,103.8473058,700,1658000,2,3,NA,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,50M Lap Pool|Jacuzzi|Male And Female Changing And Steam Rooms|Lounge|The Sophia Mirror Pool|Lagoon Pool|Vantage Deck|Yoga Decks|Seating Corner|Water Cascades|Adventure Playground|Management Office|Gymnasium|The Sophia Grand Staircase|Residents' Side Gate|Timber Deck|Conserved Building: Childcare/kindergarten|Games Room|Mountain Terraces|Multi-purpose Media Room|Main Entrance Drop-off Plaza|Substation|Pavilion|Internet Corner|Bio-pond|Clubhouse Drop-off Plaza|Steps Cascades|Bin Centre|Guardhouse|Fitness Stations|Children's Water Play|Conserved Building: Restaurant|Jogging Path|Sunning Deck|Function Rooms|Children's Pool|Toddler's Playground|Childcare Drop-off Plaza|Reflective Pool|Bbq Corner|Water Wall|Air Conditioning|Water Heater,NA,NA,NA,Condominium,493,Sophia Hills,Condominium,2369,LEASEHOLD/99 years,NA,9
427,15 Mount Sophia (228472),1.30110557,103.8469809,710,1171000,2,2,NA,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Residents' Side Gate|Yoga Decks|50M Lap Pool|Bbq Corner|Vantage Deck|Internet Corner|Water Cascades|Games Room|Main Entrance Drop-off Plaza|Function Rooms|Jogging Path|Pavilion|Water Wall|The Sophia Grand Staircase|Conserved Building: Childcare/kindergarten|Management Office|Childcare Drop-off Plaza|Sunning Deck|Multi-purpose Media Room|The Sophia Mirror Pool|Conserved Building: Restaurant|Bin Centre|Fitness Stations|Mountain Terraces|Substation|Guardhouse|Male And Female Changing And Steam Rooms|Adventure Playground|Seating Corner|Jacuzzi|Bio-pond|Lagoon Pool|Steps Cascades|Children's Water Play|Reflective Pool|Timber Deck|Gymnasium|Children's Pool|Lounge|Toddler's Playground|Clubhouse Drop-off Plaza|Air Conditioning|Water Heater,NA,NA,NA,Condominium,493,Sophia Hills,Condominium,1649,LEASEHOLD/99 years,NA,9
428,3 Lorong 5 Toa Payoh (319459),1.339281457,103.8513604,678,1078000,2,3,NA,GEM Homes Pte Ltd,D12 - Balestier / Toa Payoh,Air Conditioning|Water Heater,NA,NA,NA,Condominium,578,Gem Residences,Condominium,1590,LEASEHOLD/99 years,NA,12
429,1 Lorong 5 Toa Payoh (319458),1.338755576,103.8508219,1055,1322000,2,2,NA,GEM Homes Pte Ltd,D12 - Balestier / Toa Payoh,Air Conditioning|Water Heater,NA,NA,NA,Condominium,578,Gem Residences,Condominium,1253,LEASEHOLD/99 years,NA,12
430,68 Upper Serangoon View (533884),1.373777671,103.9029702,1044,1060000,NA,3,NA,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Air Conditioning|Water Heater,NA,NA,NA,Apartment,1165,Kingsford Waterbay,Apartment,1015,LEASEHOLD/99 years,NA,19
431,66 Upper Serangoon View (533885),1.373525853,103.9027083,775,870000,NA,2,NA,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Air Conditioning|Water Heater,NA,NA,NA,Apartment,1165,Kingsford Waterbay,Apartment,1123,LEASEHOLD/99 years,NA,19
432,Holland Grove View,1.312810622,103.7806238,NA,2770001,4,4,1997,WHITE HOUSE PROPERTIES PTE LTD,D10 - Tanglin / Holland / Bukit Timah,Air Conditioning|Bathtub|Cooker Hob/hood|Air Conditioning|Water Heater|Outdoor Patio|Maidsroom|Walk-in-wardrobe,NA,Partially Furnished,NA,Semi-detached,113,Holland Grove,Semi-Detached,NA,LEASEHOLD/99 years,NA,10
433,66 Upper Serangoon View (533885),1.373525853,103.9027083,775,911153,NA,2,NA,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Park/greenery View|City View|Air Conditioning|Water Heater|Cooker Hob/hood|Balcony,NA,NA,NA,Apartment,1165,Kingsford Waterbay,Apartment,1176,LEASEHOLD/99 years,NA,19
434,68 Upper Serangoon View (533884),1.373777671,103.9029702,1044,1059292,NA,3,NA,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Air Conditioning|Water Heater,NA,NA,NA,Apartment,1165,Kingsford Waterbay,Apartment,1015,LEASEHOLD/99 years,NA,19
435,27 Mount Sophia (228478),1.301008314,103.8473058,700,1658000,2,3,NA,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Childcare Drop-off Plaza|Jogging Path|Children's Pool|Jacuzzi|Clubhouse Drop-off Plaza|The Sophia Mirror Pool|Toddler's Playground|Bbq Corner|Guardhouse|Adventure Playground|Sunning Deck|Lagoon Pool|Mountain Terraces|Fitness Stations|Pavilion|Water Cascades|Male And Female Changing And Steam Rooms|Water Wall|Reflective Pool|Internet Corner|Yoga Decks|Lounge|The Sophia Grand Staircase|Gymnasium|Residents' Side Gate|Conserved Building: Restaurant|Main Entrance Drop-off Plaza|Bin Centre|Management Office|Conserved Building: Childcare/kindergarten|Children's Water Play|Steps Cascades|Multi-purpose Media Room|Vantage Deck|50M Lap Pool|Bio-pond|Games Room|Seating Corner|Timber Deck|Function Rooms|Substation|Air Conditioning|Water Heater,NA,NA,NA,Condominium,493,Sophia Hills,Condominium,2369,LEASEHOLD/99 years,NA,9
436,15 Mount Sophia (228472),1.30110557,103.8469809,710,1710000,2,2,NA,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Bbq Corner|The Sophia Grand Staircase|50M Lap Pool|Games Room|Conserved Building: Childcare/kindergarten|Function Rooms|Bio-pond|Vantage Deck|Adventure Playground|Conserved Building: Restaurant|Pavilion|Sunning Deck|Children's Water Play|Management Office|Substation|Bin Centre|Internet Corner|Lounge|Timber Deck|Children's Pool|Toddler's Playground|Residents' Side Gate|The Sophia Mirror Pool|Fitness Stations|Childcare Drop-off Plaza|Guardhouse|Seating Corner|Clubhouse Drop-off Plaza|Yoga Decks|Jacuzzi|Multi-purpose Media Room|Lagoon Pool|Jogging Path|Water Wall|Water Cascades|Steps Cascades|Reflective Pool|Main Entrance Drop-off Plaza|Mountain Terraces|Gymnasium|Male And Female Changing And Steam Rooms|Air Conditioning|Water Heater,NA,NA,NA,Condominium,493,Sophia Hills,Condominium,2408,LEASEHOLD/99 years,NA,9
437,3 Lorong 5 Toa Payoh (319459),1.339281457,103.8513604,678,1078000,2,2,NA,GEM Homes Pte Ltd,D12 - Balestier / Toa Payoh,Corner Unit|Park/greenery View|City View|Air Conditioning|Water Heater,NA,NA,NA,Condominium,578,Gem Residences,Condominium,1590,LEASEHOLD/99 years,"$1,110,000(Updated: 12-Sep-2017)",12
438,105 Prince Charles Crescent (159019),1.292819209,103.8192931,1658,2108000,2,3,2017,Wingcrown Investment Pte Ltd,D3 - Alexandra / Commonwealth,Air Conditioning|Water Heater,NA,NA,NA,Condominium,469,The Crest,Condominium,1271,LEASEHOLD/99 years,NA,3
439,111 Woodlands View (737703),1.44369698,103.8103245,1130,738400,2,3,NA,Hao Yuan (Woodlands) Pte Ltd,D25 - Admiralty / Woodlands,Air Conditioning|Water Heater,NA,NA,NA,Condominium,358,Northwave,Condominium,653,LEASEHOLD/99 years,NA,25
440,356 Alexandra Road (159949),1.291133406,103.8073548,969,1280000,2,2,2012,EC Prime Pte Ltd,D3 - Alexandra / Commonwealth,Park/greenery View|Corner Unit|Jacuzzi|Intercom|Cooker Hob/hood|Air Conditioning|Water Heater|Roof Terrace,NA,Partially Furnished,NA,Apartment,293,Alexis,Apartment,1321,FREEHOLD,NA,3
441,18 Siglap Link (448873),1.307701,103.928106,560,962000,2,1,2021,East Vue Pte Ltd,D15 - East Coast / Marine Parade,Park/greenery View|Original Condition|Air Conditioning|Water Heater|Cooker Hob/hood|Intercom|Walk-in-wardrobe|Balcony,NA,Partially Furnished,NA,Apartment,841,Seaside Residences,Apartment,1718,LEASEHOLD/99 years,NA,15
442,18 Siglap Link (448873),1.307701,103.928106,560,962000,1,1,2021,East Vue Pte Ltd,D15 - East Coast / Marine Parade,Park/greenery View|Original Condition|Air Conditioning|Water Heater|Cooker Hob/hood|Intercom|Walk-in-wardrobe|Balcony,NA,Partially Furnished,NA,Apartment,841,Seaside Residences,Apartment,1718,LEASEHOLD/99 years,NA,15
443,ZZ6951 Martin Place (2399993),1.293234,103.837949,764,1928700,2,2,2020,Martin Modern Pte Ltd,D9 - Orchard / River Valley,Swimming Pool View|City View|Park/greenery View|Original Condition|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,NA,Partially Furnished,NA,Condominium,450,Martin Modern,Condominium,2524,LEASEHOLD/99 years,NA,9
444,33 Yishun Street 51 (767991),1.416946782,103.8450009,947,807500,2,3,2018,Gee-I Investments Pte. Ltd.,D27 - Sembawang / Yishun,Park/greenery View|Original Condition|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,NA,Partially Furnished,NA,Executive Condominium,525,Signature At Yishun,Condominium,853,LEASEHOLD/99 years,NA,27
445,35 Martin Place (2399993),1.293234,103.837949,764,1928700,2,2,2020,Martin Modern Pte Ltd,D9 - Orchard / River Valley,City View|Park/greenery View|Swimming Pool View|Original Condition|Private Pool|Intercom|Walk-in-wardrobe|Balcony,NA,Partially Furnished,NA,Condominium,450,Martin Modern,Condominium,2524,LEASEHOLD/99 years,NA,9
446,10 Beatty Road (209955),1.312972097,103.8590066,947,2435000,2,3,2019,SL Capital (1) Pte Ltd,D8 - Farrer Park / Serangoon Rd,City View|Park/greenery View|Original Condition|Intercom|Cooker Hob/hood|Water Heater|Air Conditioning|Balcony|Walk-in-wardrobe,NA,Partially Furnished,NA,Condominium,305,Sturdee Residences,Condominium,2571,LEASEHOLD/99 years,NA,8
447,111 Woodlands View (737703),1.44369698,103.8103245,893,759000,2,3,2019,Hao Yuan (Woodlands) Pte Ltd,D25 - Admiralty / Woodlands,Park/greenery View|Original Condition|Intercom|Water Heater|Hairdryer|Cooker Hob/hood|Balcony|Walk-in-wardrobe,NA,Partially Furnished,NA,Executive Condominium,358,Northwave,Condominium,850,LEASEHOLD/99 years,NA,25
448,25 Yishun Street 51 (768087),1.416946782,103.8450009,947,813000,2,2,2018,Gee-I Investments Pte. Ltd.,D27 - Sembawang / Yishun,Park/greenery View|Original Condition|Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,NA,Partially Furnished,NA,Condominium,525,Signature At Yishun,Condominium,859,LEASEHOLD/99 years,NA,27
449,115 Tampines Street 86 (528537),1.355520863,103.929719,936,1014000,NA,3,NA,MCC Land (Tampines) Pte Ltd,D18 - Pasir Ris / Tampines,Air Conditioning|Intercom|Water Heater|Cooker Hob/hood|Balcony,NA,NA,NA,Condominium,626,The Alps Residences,Condominium,1083,LEASEHOLD/99 years,NA,18
450,632 Choa Chu Kang North 6 (680632),1.396691105,103.7485798,12,568000,2,4,1998,NA,NA,Renovated|Corner Unit|Air Conditioning|Maidsroom,NA,NA,Choa Chu Kang,Premium Apartment,NA,Choa Chu Kang North 6,HDB 5 Rooms,416,LEASEHOLD/99 years,NA,NA
451,88 Mergui Road (219062),1.317725204,103.8518579,624,1562600,2,3,NA,Forte Development Pte. Ltd.,D8 - Farrer Park / Serangoon Rd,Park/greenery View|Original Condition|Intercom|Water Heater|Air Conditioning|Cooker Hob/hood|Balcony|Walk-in-wardrobe,NA,Not Furnished,NA,Apartment,106,Forte Suites,Apartment,2504,FREEHOLD,NA,8
452,88 Mergui Road (219062),1.317725204,103.8518579,624,1562600,2,3,NA,Forte Development Pte. Ltd.,D8 - Farrer Park / Serangoon Rd,Park/greenery View|Original Condition|Intercom|Air Conditioning|Water Heater|Cooker Hob/hood|Balcony|Walk-in-wardrobe,NA,Fully Furnished,NA,Apartment,106,Forte Suites,Apartment,2504,FREEHOLD,NA,8
453,60 Trevose Crescent (298090),1.322626925,103.8251726,1927,2500000,3,3+1,2001,Trevose Cresent Development Pte Ltd,D11 - Newton / Novena,Tennis Court|Gymnasium|Swimming Pool|Securities|Jacuzzi|Fitness Area|Swimming Pool View|Air Conditioning|Water Heater|Cooker Hob/hood|Flooring For Bedroom|Wardrobe|Air-conditioning|Kitchen|Flooring For Living/dining|Outdoor Patio|Maidsroom,NA,Partially Furnished,NA,Condominium,142,The Trevose,Condominium,1297,LEASEHOLD/99 years,NA,11
454,161B Jalan Loyang Besar (509410),1.378527644,103.9592614,1206,916000,NA,3,NA,Hong How Corporation Pte Ltd,D17 - Changi Airport / Changi Village,Barbecue Area|Wadpool|Swimming Pool|Play Ground|Corner Unit|Swimming Pool View|Park/greenery View|Air Conditioning|Hairdryer|Bathtub|Cooker Hob/hood|Water Heater|Kitchen|Flooring For Bedroom|Air-conditioning|Flooring For Living/dining|Wardrobe|Balcony,NA,Partially Furnished,NA,Low Rise,51,Lighthouse,Condominium,760,LEASEHOLD/99 years,NA,17
455,303 Clementi Avenue 4 (120303),1.321325647,103.7648177,6,355000,2,2,1979,NA,NA,Renovated|Air Conditioning|Water Heater,NA,Not Furnished,Clementi,New Generation(modified),NA,Clementi Avenue 4,HDB 3 Rooms,492,LEASEHOLD/99 years,NA,NA
456,5 Woodlands Road (677903),1.380349731,103.760129,861,950000,2,2,2014,Dollar Land Singapore Pte Ltd,D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang,Park/greenery View|Renovated|Air Conditioning|Water Heater|Cooker Hob/hood|Balcony,NA,NA,NA,Apartment,338,The Tennery,Apartment,1103,LEASEHOLD/99 years,NA,23
457,74 Marine Drive (440074),1.303700714,103.9072154,8,599000,NA,3,1976,NA,NA,,NA,NA,Marine Parade,Improved,NA,Marine Drive,HDB 4 Rooms,678,LEASEHOLD/99 years,NA,NA
458,104 Bukit Batok Central (650104),1.348993755,103.7472586,10,460000,2,3,1985,NA,NA,Air Conditioning|Cooker Hob/hood,NA,NA,Bukit Batok,Model A,NA,Bukit Batok Central,HDB 4 Rooms,411,LEASEHOLD/99 years,NA,NA
459,221 Queensway (276750),1.308440903,103.8019294,495,950000,NA,1,2008,Sim Lian (Holland) Pte Ltd,D10 - Tanglin / Holland / Bukit Timah,Corner Unit|Park/greenery View|Renovated|Air Conditioning|Intercom|Cooker Hob/hood|Water Heater,NA,NA,NA,Condominium,165,Viz At Holland,Condominium,1919,FREEHOLD,NA,10
460,168C Punggol Field (823168),1.393902328,103.9137749,11,5.00E+05,2,3,2014,NA,NA,Renovated|Corner Unit|Air Conditioning|Bombshelter,NA,Partially Furnished,Punggol,Improved,NA,Punggol Field,HDB 5 Rooms,411,LEASEHOLD/99 years,NA,NA
461,12 Siglap Link (448870),1.307546022,103.9273836,1485,2088000,4,4,2020,East Vue Pte Ltd,D15 - East Coast / Marine Parade,Park/greenery View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Bathtub|Intercom|Cooker Hob/hood|Air Conditioning|Balcony|Walk-in-wardrobe|Maidsroom,NA,Partially Furnished,NA,Apartment,841,Seaside Residences,Apartment,1406,LEASEHOLD/99 years,"$2,400,000(Updated: 21-Apr-2017)",15
462,11 Mount Sophia (228461),1.300258596,103.8472447,1023,1798800,3,3,2017,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,50M Lap Pool|Vantage Deck|Sunning Deck|Conserved Building: Childcare/kindergarten|Fitness Stations|Water Wall|Bbq Corner|Management Office|Seating Corner|Multi-purpose Media Room|Games Room|Residents' Side Gate|Gymnasium|Male And Female Changing And Steam Rooms|Steps Cascades|Guardhouse|The Sophia Grand Staircase|Conserved Building: Restaurant|Jacuzzi|Function Rooms|Main Entrance Drop-off Plaza|The Sophia Mirror Pool|Children's Water Play|Reflective Pool|Bin Centre|Lagoon Pool|Mountain Terraces|Bio-pond|Substation|Childcare Drop-off Plaza|Children's Pool|Water Cascades|Toddler's Playground|Jogging Path|Pavilion|Internet Corner|Adventure Playground|Timber Deck|Clubhouse Drop-off Plaza|Yoga Decks|Lounge|Park/greenery View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Intercom|Air Conditioning|Balcony|Maidsroom,NA,Partially Furnished,NA,Condominium,493,Sophia Hills,Condominium,1758,LEASEHOLD/99 years,NA,9
463,11 Mount Sophia (228461),1.300258596,103.8472447,700,1238000,2,2,2017,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Bio-pond|Yoga Decks|Mountain Terraces|Seating Corner|Children's Pool|Management Office|Gymnasium|Lagoon Pool|Multi-purpose Media Room|The Sophia Mirror Pool|Male And Female Changing And Steam Rooms|Jogging Path|Function Rooms|50M Lap Pool|Childcare Drop-off Plaza|Sunning Deck|Guardhouse|Internet Corner|Conserved Building: Restaurant|Lounge|Main Entrance Drop-off Plaza|Bin Centre|Water Wall|Bbq Corner|Toddler's Playground|Fitness Stations|Adventure Playground|Residents' Side Gate|The Sophia Grand Staircase|Reflective Pool|Pavilion|Timber Deck|Games Room|Conserved Building: Childcare/kindergarten|Jacuzzi|Steps Cascades|Clubhouse Drop-off Plaza|Water Cascades|Children's Water Play|Vantage Deck|Substation|Park/greenery View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Intercom|Cooker Hob/hood|Air Conditioning|Balcony,NA,Partially Furnished,NA,Condominium,493,Sophia Hills,Condominium,1769,LEASEHOLD/99 years,NA,9
464,11 Mount Sophia (228461),1.300258596,103.8472447,667,1274800,2,2,2017,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Children's Water Play|Seating Corner|Bbq Corner|Management Office|Jogging Path|Clubhouse Drop-off Plaza|Conserved Building: Childcare/kindergarten|Vantage Deck|Lounge|Pavilion|Internet Corner|Games Room|Reflective Pool|Toddler's Playground|Lagoon Pool|50M Lap Pool|Sunning Deck|Bio-pond|Conserved Building: Restaurant|Guardhouse|Main Entrance Drop-off Plaza|Fitness Stations|Multi-purpose Media Room|Bin Centre|Yoga Decks|Function Rooms|Mountain Terraces|Residents' Side Gate|Childcare Drop-off Plaza|Substation|Children's Pool|The Sophia Mirror Pool|Adventure Playground|Jacuzzi|Water Cascades|Timber Deck|Steps Cascades|The Sophia Grand Staircase|Gymnasium|Water Wall|Male And Female Changing And Steam Rooms|Park/greenery View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Intercom|Cooker Hob/hood|Air Conditioning|Balcony,NA,Partially Furnished,NA,Condominium,493,Sophia Hills,Condominium,1911,LEASEHOLD/99 years,NA,9
465,11 Mount Sophia (228461),1.300258596,103.8472447,850,1528000,2,3,2017,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Male And Female Changing And Steam Rooms|Toddler's Playground|Residents' Side Gate|Mountain Terraces|Childcare Drop-off Plaza|Games Room|Clubhouse Drop-off Plaza|Internet Corner|Substation|Bin Centre|Children's Pool|The Sophia Grand Staircase|Management Office|Fitness Stations|The Sophia Mirror Pool|Lounge|Guardhouse|Yoga Decks|Seating Corner|Water Wall|Jogging Path|Bio-pond|Vantage Deck|50M Lap Pool|Timber Deck|Sunning Deck|Bbq Corner|Conserved Building: Restaurant|Gymnasium|Reflective Pool|Pavilion|Adventure Playground|Conserved Building: Childcare/kindergarten|Jacuzzi|Steps Cascades|Water Cascades|Multi-purpose Media Room|Main Entrance Drop-off Plaza|Function Rooms|Lagoon Pool|Children's Water Play|Park/greenery View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Intercom|Cooker Hob/hood|Air Conditioning|Balcony,NA,Partially Furnished,NA,Condominium,493,Sophia Hills,Condominium,1798,LEASEHOLD/99 years,NA,9
466,11 Mount Sophia (228461),1.300258596,103.8472447,506,1024800,1,1,2017,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Games Room|Guardhouse|Conserved Building: Childcare/kindergarten|Clubhouse Drop-off Plaza|Pavilion|Mountain Terraces|Male And Female Changing And Steam Rooms|Bio-pond|Sunning Deck|Timber Deck|Seating Corner|50M Lap Pool|The Sophia Grand Staircase|Function Rooms|Residents' Side Gate|Jogging Path|Bbq Corner|Bin Centre|Children's Water Play|Toddler's Playground|Main Entrance Drop-off Plaza|Steps Cascades|Jacuzzi|Fitness Stations|The Sophia Mirror Pool|Lagoon Pool|Water Cascades|Adventure Playground|Substation|Management Office|Lounge|Water Wall|Multi-purpose Media Room|Reflective Pool|Yoga Decks|Children's Pool|Gymnasium|Conserved Building: Restaurant|Vantage Deck|Childcare Drop-off Plaza|Internet Corner|Park/greenery View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Intercom|Cooker Hob/hood|Air Conditioning|Balcony,NA,Partially Furnished,NA,Condominium,493,Sophia Hills,Condominium,2025,LEASEHOLD/99 years,NA,9
467,12 Siglap Link (448870),1.307546022,103.9273836,560,688000,1,1,2020,East Vue Pte Ltd,D15 - East Coast / Marine Parade,Park/greenery View|Sea View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Intercom|Cooker Hob/hood|Air Conditioning|Balcony|Walk-in-wardrobe|Outdoor Patio,NA,Partially Furnished,NA,Apartment,841,Seaside Residences,Apartment,1229,LEASEHOLD/99 years,"$1,100,000(Updated: 25-Apr-2017)",15
468,12 Siglap Link (448870),1.307546022,103.9273836,829,1198000,2,2,2020,East Vue Pte Ltd,D15 - East Coast / Marine Parade,Park/greenery View|Sea View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Bathtub|Intercom|Cooker Hob/hood|Air Conditioning|Balcony|Walk-in-wardrobe,NA,Partially Furnished,NA,Apartment,841,Seaside Residences,Apartment,1445,LEASEHOLD/99 years,"$1,400,000(Updated: 21-Apr-2017)",15
469,11 Mount Sophia (228461),1.300258596,103.8472447,570,1062800,1,1,2017,Hoi Hup Sunway Mount Sophia Pte Ltd,D9 - Orchard / River Valley,Bin Centre|50M Lap Pool|Substation|Gymnasium|Lagoon Pool|Clubhouse Drop-off Plaza|Conserved Building: Childcare/kindergarten|Adventure Playground|Lounge|Male And Female Changing And Steam Rooms|Timber Deck|Seating Corner|Multi-purpose Media Room|Children's Water Play|Bio-pond|The Sophia Grand Staircase|Water Cascades|Games Room|Conserved Building: Restaurant|Sunning Deck|Residents' Side Gate|Yoga Decks|Bbq Corner|Vantage Deck|Pavilion|Internet Corner|Childcare Drop-off Plaza|Reflective Pool|Jogging Path|Main Entrance Drop-off Plaza|Management Office|Fitness Stations|Steps Cascades|Mountain Terraces|Function Rooms|Guardhouse|Children's Pool|Jacuzzi|Water Wall|The Sophia Mirror Pool|Toddler's Playground|Renovated|Park/greenery View|City View|Swimming Pool View|Original Condition|Air Conditioning|Corner Unit|Water Heater|Intercom|Cooker Hob/hood|Air Conditioning|Balcony|Bombshelter,NA,Partially Furnished,NA,Condominium,493,Sophia Hills,Condominium,1865,LEASEHOLD/99 years,NA,9
470,29 Tampines Street 86 (528571),1.352087851,103.92793,1378,1338800,4,5,2017,MCC Land (Singapore) Pte Ltd,D18 - Pasir Ris / Tampines,Swimming Pool View|Park/greenery View|Sea View|Original Condition|City View|Corner Unit|Air Conditioning|Intercom|Cooker Hob/hood|Air Conditioning|Water Heater|Balcony|Maidsroom|Walk-in-wardrobe,NA,Partially Furnished,NA,Condominium,597,The Santorini,Condominium,972,LEASEHOLD/99 years,NA,18
